Unnamed: 0_level_0 Player,Unnamed: 1_level_0 Nation,Unnamed: 2_level_0 Pos,Unnamed: 3_level_0 Age,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,Unnamed: 33_level_0 Matches
David Raya,es ESP,GK,29-240,36,36,3240.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
William Saliba,fr FRA,DF,24-050,34,34,2994.0,33.3,2.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,2.3,2.3,0.9,3.1,16.0,138.0,6.0,0.06,0.0,0.06,0.06,0.06,0.07,0.03,0.09,0.07,0.09,Matches
Declan Rice,eng ENG,MF,26-119,33,31,2645.0,29.4,3.0,7.0,10.0,3.0,0.0,0.0,7.0,1.0,3.3,3.3,6.5,9.7,88.0,180.0,92.0,0.1,0.24,0.34,0.1,0.34,0.11,0.22,0.33,0.11,0.33,Matches
Thomas Partey,gh GHA,"MF,DF",31-334,33,29,2617.0,29.1,4.0,2.0,6.0,4.0,0.0,0.0,4.0,0.0,2.0,2.0,2.0,4.0,33.0,173.0,48.0,0.14,0.07,0.21,0.14,0.21,0.07,0.07,0.14,0.07,0.14,Matches
Gabriel Magalhães,br BRA,DF,27-145,28,28,2363.0,26.3,3.0,1.0,4.0,3.0,0.0,0.0,4.0,0.0,2.6,2.6,0.9,3.5,10.0,126.0,11.0,0.11,0.04,0.15,0.11,0.15,0.1,0.03,0.13,0.1,0.13,Matches
Leandro Trossard,be BEL,FW,30-160,36,27,2431.0,27.0,8.0,6.0,14.0,8.0,0.0,0.0,4.0,1.0,7.1,7.1,6.0,13.0,79.0,99.0,216.0,0.3,0.22,0.52,0.3,0.52,0.26,0.22,0.48,0.26,0.48,Matches
Jurriën Timber,nl NED,DF,23-330,30,27,2417.0,26.9,1.0,3.0,4.0,1.0,0.0,0.0,7.0,0.0,1.2,1.2,0.8,2.1,57.0,146.0,104.0,0.04,0.11,0.15,0.04,0.15,0.05,0.03,0.08,0.05,0.08,Matches
Martin Ødegaard,no NOR,MF,26-147,28,25,2220.0,24.7,2.0,7.0,9.0,1.0,1.0,1.0,4.0,0.0,4.7,3.9,5.3,9.2,89.0,250.0,146.0,0.08,0.28,0.36,0.04,0.32,0.19,0.21,0.41,0.16,0.37,Matches
Gabriel Martinelli,br BRA,"FW,MF",23-329,31,23,2131.0,23.7,8.0,4.0,12.0,8.0,0.0,0.0,1.0,0.0,6.4,6.4,4.7,11.1,116.0,49.0,276.0,0.34,0.17,0.51,0.34,0.51,0.27,0.2,0.47,0.27,0.47,Matches
Kai Havertz,de GER,"FW,MF",25-336,21,21,1839.0,20.4,9.0,3.0,12.0,9.0,0.0,0.0,4.0,0.0,9.4,9.4,2.4,11.8,34.0,59.0,110.0,0.44,0.15,0.59,0.44,0.59,0.46,0.12,0.58,0.46,0.58,Matches
Bukayo Saka,eng ENG,"FW,MF",23-250,23,19,1626.0,18.1,6.0,10.0,16.0,5.0,1.0,1.0,3.0,0.0,6.7,5.9,7.0,12.9,89.0,66.0,241.0,0.33,0.55,0.89,0.28,0.83,0.37,0.39,0.76,0.33,0.71,Matches
Mikel Merino,es ESP,"MF,FW",28-325,27,16,1496.0,16.6,7.0,2.0,9.0,7.0,0.0,0.0,4.0,1.0,5.6,5.6,2.0,7.6,10.0,67.0,92.0,0.42,0.12,0.54,0.42,0.54,0.34,0.12,0.46,0.34,0.46,Matches
Myles Lewis-Skelly,eng ENG,DF,18-229,21,14,1258.0,14.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,0.1,0.1,0.4,0.5,32.0,65.0,36.0,0.07,0.0,0.07,0.07,0.07,0.01,0.03,0.04,0.01,0.04,Matches
Ben White,eng ENG,DF,27-217,15,11,1018.0,11.3,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,0.9,1.3,16.0,47.0,33.0,0.0,0.09,0.09,0.0,0.09,0.04,0.08,0.12,0.04,0.12,Matches
Riccardo Calafiori,it ITA,DF,22-359,18,11,938.0,10.4,2.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,0.9,0.9,0.3,1.1,21.0,54.0,29.0,0.19,0.1,0.29,0.19,0.29,0.08,0.03,0.11,0.08,0.11,Matches
Ethan Nwaneri,eng ENG,"FW,MF",18-053,25,10,821.0,9.1,4.0,2.0,6.0,4.0,0.0,0.0,1.0,0.0,1.1,1.1,1.0,2.2,44.0,30.0,102.0,0.44,0.22,0.66,0.44,0.66,0.12,0.11,0.24,0.12,0.24,Matches
Jorginho,it ITA,MF,33-144,14,9,703.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.1,0.1,0.4,0.5,12.0,48.0,6.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.06,0.01,0.06,Matches
Jakub Kiwior,pl POL,DF,25-087,15,8,942.0,10.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.4,5.0,42.0,1.0,0.1,0.0,0.1,0.1,0.1,0.02,0.02,0.04,0.02,0.04,Matches
