Unnamed: 0_level_0 Player,Unnamed: 1_level_0 Nation,Unnamed: 2_level_0 Pos,Unnamed: 3_level_0 Age,Unnamed: 4_level_0 90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Unnamed: 27_level_0 Matches
Nathan Collins,ie IRL,DF,24-013,36.0,2318,364,1204,958,166,67,2318,12,6,50.0,5,41.7,1208,6595,3874,30,12,1,19,8,1406,18,Matches
Bryan Mbeumo,cm CMR,FW,25-279,35.9,1679,58,236,531,941,154,1674,102,48,47.1,42,41.2,1008,6357,3297,120,64,70,99,42,1141,331,Matches
Mark Flekken,nl NED,GK,31-334,34.4,1744,1370,1697,52,0,0,1744,1,1,100.0,0,0.0,1063,5402,3062,0,0,0,3,0,974,0,Matches
Keane Lewis-Potter,eng ENG,"DF,FW",24-080,32.5,1514,95,467,585,481,71,1514,99,41,41.4,49,49.5,803,5689,3007,92,63,34,45,19,902,147,Matches
Mikkel Damsgaard,dk DEN,"MF,FW",24-314,30.5,1761,34,312,804,667,74,1761,93,49,52.7,33,35.5,999,5450,2810,66,44,9,55,46,1161,126,Matches
Yoane Wissa,cd COD,FW,28-252,30.4,870,32,131,355,399,151,870,47,14,29.8,24,51.1,506,3191,1504,54,23,29,72,29,614,139,Matches
Christian Nørgaard,dk DEN,MF,31-064,29.3,1693,164,574,809,326,52,1693,14,7,50.0,5,35.7,765,2931,1312,14,15,4,32,19,1009,39,Matches
Sepp van den Berg,nl NED,DF,23-144,26.7,1491,260,753,581,161,43,1491,7,4,57.1,3,42.9,671,3426,1769,10,9,1,15,7,845,27,Matches
Vitaly Janelt,de GER,MF,27-003,25.0,1289,118,418,574,306,32,1289,12,3,25.0,7,58.3,652,3011,1278,17,18,3,16,10,814,38,Matches
Kevin Schade,de GER,FW,23-167,23.8,823,38,136,225,478,137,823,83,30,36.1,47,56.6,408,2887,1299,57,27,35,58,35,508,154,Matches
Ethan Pinnock,jm JAM,DF,31-349,21.3,1348,294,783,457,109,24,1348,9,3,33.3,6,66.7,633,3117,1633,3,4,0,2,4,760,9,Matches
Kristoffer Ajer,no NOR,DF,27-026,15.6,773,52,260,359,160,35,773,16,7,43.8,8,50.0,378,2059,1172,27,11,2,15,12,481,42,Matches
Yehor Yarmoliuk,ua UKR,MF,21-073,14.3,851,53,234,445,187,15,851,22,10,45.5,9,40.9,442,2376,808,15,18,3,24,18,534,46,Matches
Mads Roerslev,dk DEN,DF,25-323,12.2,645,49,234,268,146,20,645,19,7,36.8,8,42.1,352,1630,858,17,13,0,9,6,407,54,Matches
Mathias Jensen,dk DEN,MF,29-132,9.3,538,25,122,228,191,9,538,16,9,56.3,5,31.3,280,1205,543,6,8,0,9,6,330,26,Matches
Michael Kayode,it ITA,DF,20-307,4.2,229,19,78,83,72,12,229,12,7,58.3,4,33.3,97,663,337,10,5,3,10,2,94,22,Matches
Fabio Carvalho,pt POR,"FW,MF",22-256,5.1,247,4,44,91,113,22,247,14,2,14.3,10,71.4,137,698,356,9,3,0,13,8,145,23,Matches
Ben Mee,eng ENG,DF,35-234,2.0,138,18,66,62,11,3,138,0,0,,0,,78,404,274,3,1,1,0,0,86,2,Matches
Thiago,br BRA,FW,23-321,1.6,68,6,12,29,28,3,68,4,3,75.0,1,25.0,36,135,42,3,2,1,5,1,41,5,Matches
Hákon Rafn Valdimarsson,is ISL,GK,23-212,1.6,72,60,71,1,0,0,72,0,0,,0,,44,191,80,0,0,0,0,0,36,0,Matches
Edmond-Paris Maghoma,eng ENG,"MF,FW",24-005,1.3,101,2,18,58,27,4,101,4,3,75.0,1,25.0,68,414,221,4,3,1,2,0,75,4,Matches
Rico Henry,eng ENG,DF,27-309,0.9,45,6,19,22,4,0,45,2,0,0.0,1,50.0,19,89,18,0,0,0,3,2,18,1,Matches
Yunus Emre Konak,tr TUR,"FW,MF",19-123,0.5,53,0,9,27,17,0,53,2,0,0.0,2,100.0,17,67,41,1,1,1,3,3,28,2,Matches
Kim Jisoo,kr KOR,DF,20-140,0.3,30,1,15,12,3,0,30,0,0,,0,,15,57,22,0,0,0,0,1,22,0,Matches
Frank Onyeka,ng NGA,MF,27-132,0.3,10,0,1,5,4,0,10,0,0,,0,,6,55,14,0,0,0,2,1,6,0,Matches
Gustavo Nunes,br BRA,"FW,MF",19-174,0.1,7,1,4,1,2,1,7,0,0,,0,,1,16,11,1,0,1,1,0,1,0,Matches
Jayden Meghoma,eng ENG,DF,18-319,0.1,3,1,2,0,1,0,3,0,0,,0,,1,1,0,0,0,0,0,0,2,0,Matches
Ryan Trevitt,eng ENG,MF,22-062,0.0,7,1,2,4,1,0,7,0,0,,0,,4,7,2,0,0,0,0,0,4,1,Matches
Squad Total,,,26.6,36.0,20347,3125,7902,7626,5001,929,20342,590,254,43.1,270,45.8,10691,58123,29644,559,344,199,512,279,12444,1256,
Opponent Total,,,27.1,36.0,21977,2470,6792,8603,6763,1141,21976,626,263,42.0,299,47.8,12203,64471,34768,791,557,287,469,300,14191,1478,
